country_code,population,life_expectancy,hospital_beds_per_thousand,handwashing_facilities,male_smokers,female_smokers,diabetes_prevalence,cardiovasc_death_rate,extreme_poverty,gdp_per_capita,aged_70_older,aged_65_older,median_age,population_density,stringency_index
ABW,106459.0,76.29,,,,,11.62,,,35973.781,7.452,13.085,41.2,584.8,88.89
AFG,41128772.0,64.83,0.5,37.746,,,9.59,597.029,,1803.987,1.337,2.581,18.6,54.422,84.26
AGO,35588996.0,61.15,,26.664,,,3.94,276.045,,5819.495,1.362,2.405,16.8,23.89,90.74
AIA,15877.0,81.88,,,,,,,,,,,,,
ALB,2842318.0,78.57,2.89,,51.2,7.1,10.08,304.195,1.1,11803.431,8.643,13.188,38.0,104.871,89.81
AND,79843.0,83.73,,,37.8,29.0,7.97,109.135,,,,,,163.755,56.48
ARE,9441138.0,77.97,1.2,,37.4,1.2,17.26,317.84,,67293.483,0.526,1.144,34.0,112.442,89.81
ARG,45510324.0,76.67,5.0,,27.7,16.2,5.5,191.032,0.6,18933.907,7.441,11.198,31.9,16.177,100.0
ARM,2780472.0,75.09,4.2,94.043,52.1,1.5,7.11,341.01,1.8,8787.58,7.571,11.232,35.7,102.931,
ASM,44295.0,73.74,,,,,,283.75,,,,,,278.205,
ATG,93772.0,77.02,3.8,,,,13.17,191.511,,21490.943,4.631,6.933,32.1,231.845,
AUS,26177410.0,83.44,3.84,,16.5,13.0,5.07,107.791,0.5,44648.71,10.129,15.504,37.9,3.202,78.24
AUT,8939617.0,81.54,7.37,,30.9,28.4,6.35,145.183,0.7,45436.686,13.748,19.202,44.4,106.749,82.41
AZE,10358078.0,73.0,4.7,83.241,42.5,0.3,7.11,559.812,,15847.419,3.871,6.018,32.4,119.309,96.3
BDI,12889583.0,61.58,0.8,6.144,,,6.05,293.068,71.7,702.225,1.504,2.562,17.5,423.062,27.31
BEL,11655923.0,81.63,5.64,,31.4,25.1,4.29,114.898,0.2,42658.576,12.849,18.571,41.8,375.564,81.48
BEN,13352864.0,61.77,0.5,11.035,12.3,0.6,0.99,235.848,49.6,2064.236,1.942,3.244,18.8,99.11,70.83
BES,27052.0,77.79,,,,,,,,,,,,,
BFA,22673764.0,61.58,0.4,11.877,23.9,1.6,2.42,269.048,43.7,1703.102,1.358,2.409,17.6,70.151,89.81
BGD,171186368.0,72.59,0.8,34.808,44.7,1.0,8.38,298.003,14.8,3523.984,3.262,5.098,27.5,1265.036,93.52
BGR,6781955.0,75.05,7.454,,44.4,30.1,5.81,424.688,1.5,18563.307,13.272,20.801,44.7,65.18,73.15
BHR,1472237.0,77.29,2.0,,37.6,5.8,16.52,151.689,,43290.705,1.387,2.372,32.4,1935.907,78.7
BHS,409989.0,73.92,2.9,,20.4,3.1,13.17,235.954,,27717.847,5.2,8.996,34.3,39.497,96.3
BIH,3233530.0,77.4,3.5,97.164,47.7,30.2,10.08,329.635,0.2,11713.895,10.711,16.569,42.5,68.496,92.59
BLM,10994.0,,,,,,,,,,,,,,
BLR,9534956.0,74.79,11.0,,46.1,10.5,5.18,443.129,,17167.967,9.788,14.799,40.3,46.858,43.52
BLZ,405285.0,74.62,1.3,90.083,,,17.11,176.957,,7824.362,2.279,3.853,25.0,16.426,85.19
BMU,64207.0,82.59,,,,,13.0,139.547,,50669.315,,,,1308.82,96.3
BOL,12224114.0,71.51,1.1,25.383,,,6.89,204.299,7.1,6885.829,4.393,6.704,25.4,10.202,96.3
BRA,215313504.0,75.88,2.2,,17.9,10.1,8.11,177.961,3.4,14103.452,5.06,8.552,33.5,25.04,81.02
BRB,281646.0,79.19,5.8,88.469,14.5,1.9,13.57,170.05,,16978.068,9.473,14.952,39.8,664.463,88.89
BRN,449002.0,75.86,2.7,,30.9,2.0,12.79,201.285,,71809.251,2.382,4.591,32.4,81.347,76.85
BTN,782457.0,71.78,1.7,79.807,,,9.75,217.066,1.5,8708.597,2.977,4.885,28.6,21.188,97.22
BWA,2630300.0,69.59,1.8,,34.4,5.7,4.81,237.372,,15807.374,2.242,3.941,25.8,4.044,86.11
CAF,5579148.0,53.28,1.0,16.603,,,6.1,435.727,,661.24,2.251,3.655,18.3,7.479,75.93
CAN,38454328.0,82.43,2.5,,16.6,12.0,7.37,105.599,0.5,44017.591,10.797,16.984,41.4,4.037,76.39
CHE,8740471.0,83.78,4.53,,28.9,22.6,5.59,99.739,,57410.166,12.644,18.436,43.1,214.243,73.15
CHL,19603736.0,80.18,2.11,,41.5,34.2,8.46,127.993,1.3,22767.037,6.938,11.087,35.4,24.282,90.28
CHN,1425887360.0,76.91,4.34,,48.4,1.9,9.74,261.899,0.7,15308.712,5.929,10.641,38.7,147.674,81.94
