state_name,rural_hosp,rural_beds,urban_hosp,urban_beds
Andhra Pradesh,193,6480,65,16658
Arunachal Pradesh,208,2136,10,268
Assam,1176,10944,50,6198
Bihar,930,6083,103,5936
Chhattisgarh,169,5070,45,4342
Goa,17,1405,25,1608
Gujarat,364,11715,122,20565
Haryana,609,6690,59,4550
Himachal Pradesh,705,5665,96,6734
Jammu & Kashmir,56,7234,76,4417
Jharkhand,519,5842,36,4942
Karnataka,2471,21072,374,49093
Kerala,981,16865,299,21139
Madhya Pradesh,334,10020,117,18819
Maharashtra,273,12398,438,39048
Manipur,23,730,7,697
Meghalaya,143,1970,14,2487
Mizoram,56,604,34,1393
Nagaland,21,630,15,1250
Odisha,1655,6339,149,12180
Punjab,510,5805,172,12128
Rajasthan,602,21088,150,10760
Sikkim,24,260,9,1300
Tamil Nadu,692,40179,525,37353
Telangana,802,7668,61,13315
Tripura,99,1140,56,3277
Uttar Pradesh,4442,39104,193,37156
Uttarakhand,410,3284,50,5228
West Bengal,1272,19684,294,58882
Andaman & Nicobar Islands,27,575,3,500
Chandigarh,0,0,4,778
Dadra & Nagar Haveli,10,273,1,316
Daman & Diu,5,240,0,0
Delhi,0,0,109,24383
Lakshadweep,9,300,0,0
Puducherry,3,96,11,3473
INDIA,19810,279588,3772,431173
