,date,total_doses,sessions, sites ,first_dose,second_dose,male,female,trans, covaxin,covishield,sputnikv,18-44_doses,45-60_doses,60+_doses
0,16/01/2021,48276.0,3455.0,2957.0,48276.0,0.0,,,,579.0,47697.0,,,,
1,17/01/2021,58604.0,8532.0,4954.0,58604.0,0.0,,,,635.0,57969.0,,,,
2,18/01/2021,99449.0,13611.0,6583.0,99449.0,0.0,,,,1299.0,98150.0,,,,
3,19/01/2021,195525.0,17855.0,7951.0,195525.0,0.0,,,,3017.0,192508.0,,,,
4,20/01/2021,251280.0,25472.0,10504.0,251280.0,0.0,,,,3946.0,247334.0,,,,
5,21/01/2021,365965.0,32226.0,12600.0,365965.0,0.0,,,,5367.0,360598.0,,,,
6,22/01/2021,549381.0,36988.0,14115.0,549381.0,0.0,,,,8128.0,541253.0,,,,
7,23/01/2021,759008.0,43076.0,15605.0,759008.0,0.0,,,,11192.0,747816.0,,,,
8,24/01/2021,835058.0,49851.0,18111.0,835058.0,0.0,,,,13156.0,821902.0,,,,
9,25/01/2021,1277104.0,55151.0,19682.0,1277104.0,0.0,,,,18858.0,1258246.0,,,,
10,26/01/2021,1293784.0,60821.0,21467.0,1293784.0,0.0,,,,19604.0,1274180.0,,,,
11,27/01/2021,1726490.0,69495.0,23737.0,1726490.0,0.0,,,,27377.0,1699113.0,,,,
12,28/01/2021,2295491.0,78523.0,25610.0,2295491.0,0.0,,,,36921.0,2258570.0,,,,
13,29/01/2021,2814803.0,83664.0,26219.0,2814803.0,0.0,,,,43604.0,2771199.0,,,,
14,30/01/2021,3067736.0,87822.0,26643.0,3067736.0,0.0,,,,48300.0,3019436.0,,,,
15,31/01/2021,3127107.0,91593.0,27011.0,3127107.0,0.0,,,,58890.0,3068217.0,,,,
16,01/02/2021,3350265.0,97432.0,27751.0,3350265.0,0.0,,,,69372.0,3280893.0,,,,
17,02/02/2021,3527971.0,106461.0,29522.0,3527971.0,0.0,,,,76794.0,3451177.0,,,,
18,03/02/2021,3825835.0,116568.0,31167.0,3825835.0,0.0,,,,86001.0,3739834.0,,,,
19,04/02/2021,4314304.0,126714.0,32505.0,4314304.0,0.0,,,,99015.0,4215289.0,,,,
20,05/02/2021,4765924.0,137110.0,33947.0,4765924.0,0.0,,,,133911.0,4632013.0,,,,
