date,state_code,conf,deceased,rec,state_name
01-Apr-20,AN,0,0,0,Andaman and Nicobar Islands
01-Apr-20,AP,67,0,1,Andhra Pradesh
01-Apr-20,AR,0,0,0,Arunachal Pradesh
01-Apr-20,AS,15,0,0,Assam
01-Apr-20,BR,3,0,0,Bihar
01-Apr-20,CH,2,0,0,Chandigarh
01-Apr-20,CT,0,0,0,Chhattisgarh
01-Apr-20,DD,0,0,0,Daman and Diu
01-Apr-20,DL,32,0,0,Delhi
01-Apr-20,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
01-Apr-20,GA,0,0,0,Goa
01-Apr-20,GJ,13,0,0,Gujarat
01-Apr-20,HP,0,0,0,Himachal Pradesh
01-Apr-20,HR,0,0,10,Haryana
01-Apr-20,JH,0,0,0,Jharkhand
01-Apr-20,JK,7,0,1,Jammu and Kashmir
01-Apr-20,KA,9,0,1,Karnataka
01-Apr-20,KL,24,0,2,Kerala
01-Apr-20,LA,0,0,0,Ladakh
01-Apr-20,LD,0,0,0,Lakshadweep
01-Apr-20,MH,33,3,0,Maharashtra
01-Apr-20,ML,0,0,0,Meghalaya
01-Apr-20,MN,0,0,0,Manipur
01-Apr-20,MP,32,1,0,Madhya Pradesh
01-Apr-20,MZ,0,0,0,Mizoram
01-Apr-20,NL,0,0,0,Nagaland
01-Apr-20,OR,1,0,1,Odisha
01-Apr-20,PB,4,0,0,Punjab
01-Apr-20,PY,2,0,0,Puducherry
01-Apr-20,RJ,27,0,0,Rajasthan
01-Apr-20,SK,0,0,0,Sikkim
01-Apr-20,TG,30,3,0,Telangana
01-Apr-20,TN,110,0,0,Tamil Nadu
01-Apr-20,TR,0,0,0,Tripura
01-Apr-20,TT,424,9,16,Total
01-Apr-20,UN,0,0,0,State Unassigned
01-Apr-20,UP,13,2,0,Uttar Pradesh
01-Apr-20,UT,0,0,0,Uttarakhand
01-Apr-20,WB,0,0,0,West Bengal
01-Aug-20,AN,88,2,12,Andaman and Nicobar Islands
01-Aug-20,AP,9276,58,12750,Andhra Pradesh
01-Aug-20,AR,83,0,51,Arunachal Pradesh
01-Aug-20,AS,1457,3,1085,Assam
01-Aug-20,BR,3521,14,1823,Bihar
01-Aug-20,CH,28,3,16,Chandigarh
01-Aug-20,CT,235,1,380,Chhattisgarh
01-Aug-20,DD,0,0,0,Daman and Diu
01-Aug-20,DL,1118,26,1201,Delhi
01-Aug-20,DN,45,0,30,Dadra and Nagar Haveli and Daman and Diu
01-Aug-20,GA,280,3,227,Goa
01-Aug-20,GJ,1136,24,875,Gujarat
01-Aug-20,HP,70,0,43,Himachal Pradesh
01-Aug-20,HR,793,7,853,Haryana
01-Aug-20,JH,790,8,170,Jharkhand
01-Aug-20,JK,613,11,654,Jammu and Kashmir
01-Aug-20,KA,5172,98,3860,Karnataka
01-Aug-20,KL,1129,8,752,Kerala
01-Aug-20,LA,58,0,13,Ladakh
01-Aug-20,LD,0,0,0,Lakshadweep
01-Aug-20,MH,9601,322,10725,Maharashtra
01-Aug-20,ML,33,0,37,Meghalaya
01-Aug-20,MN,135,1,10,Manipur
01-Aug-20,MP,808,9,698,Madhya Pradesh
01-Aug-20,MZ,5,0,6,Mizoram
01-Aug-20,NL,138,0,5,Nagaland
01-Aug-20,OR,1602,11,756,Odisha
01-Aug-20,PB,944,19,341,Punjab
01-Aug-20,PY,134,2,98,Puducherry
01-Aug-20,RJ,1160,14,823,Rajasthan
01-Aug-20,SK,11,0,38,Sikkim
01-Aug-20,TG,2083,11,1114,Telangana
01-Aug-20,TN,5879,99,7010,Tamil Nadu
01-Aug-20,TR,252,2,136,Tripura
01-Aug-20,TT,55117,854,51368,Total
01-Aug-20,UN,0,0,0,State Unassigned
01-Aug-20,UP,3587,47,2471,Uttar Pradesh
01-Aug-20,UT,264,3,162,Uttarakhand
01-Aug-20,WB,2589,48,2143,West Bengal
01-Jul-20,AN,3,0,5,Andaman and Nicobar Islands
01-Jul-20,AP,657,6,477,Andhra Pradesh
01-Jul-20,AR,4,0,4,Arunachal Pradesh
01-Jul-20,AS,548,0,184,Assam
01-Jul-20,BR,216,5,267,Bihar
01-Jul-20,CH,6,0,3,Chandigarh
01-Jul-20,CT,82,1,53,Chhattisgarh
01-Jul-20,DD,0,0,0,Daman and Diu
01-Jul-20,DL,2442,61,1644,Delhi
01-Jul-20,DN,16,0,27,Dadra and Nagar Haveli and Daman and Diu
01-Jul-20,GA,72,1,74,Goa
01-Jul-20,GJ,675,21,368,Gujarat
01-Jul-20,HP,26,0,42,Himachal Pradesh
01-Jul-20,HR,393,4,527,Haryana
01-Jul-20,JH,35,0,47,Jharkhand
01-Jul-20,JK,198,4,134,Jammu and Kashmir
01-Jul-20,KA,1272,7,145,Karnataka
01-Jul-20,KL,151,1,132,Kerala
01-Jul-20,LA,17,0,46,Ladakh
01-Jul-20,LD,0,0,0,Lakshadweep
01-Jul-20,MH,5537,198,2243,Maharashtra
01-Jul-20,ML,2,0,0,Meghalaya
01-Jul-20,MN,26,0,26,Manipur
01-Jul-20,MP,268,9,260,Madhya Pradesh
01-Jul-20,MZ,0,0,1,Mizoram
01-Jul-20,NL,42,0,14,Nagaland
01-Jul-20,OR,251,1,164,Odisha
01-Jul-20,PB,100,5,122,Punjab
01-Jul-20,PY,25,0,29,Puducherry
01-Jul-20,RJ,304,8,354,Rajasthan
01-Jul-20,SK,1,0,2,Sikkim
01-Jul-20,TG,1018,7,788,Telangana
01-Jul-20,TN,3882,63,2852,Tamil Nadu
01-Jul-20,TR,8,0,1,Tripura
01-Jul-20,TT,19429,438,12064,Total
01-Jul-20,UN,-89,0,0,State Unassigned
01-Jul-20,UP,564,21,545,Uttar Pradesh
01-Jul-20,UT,66,0,86,Uttarakhand
01-Jul-20,WB,611,15,398,West Bengal
01-Jun-20,AN,0,0,0,Andaman and Nicobar Islands
01-Jun-20,AP,105,2,34,Andhra Pradesh
01-Jun-20,AR,18,0,0,Arunachal Pradesh
01-Jun-20,AS,146,0,99,Assam
01-Jun-20,BR,138,0,221,Bihar
01-Jun-20,CH,4,0,15,Chandigarh
01-Jun-20,CT,49,0,7,Chhattisgarh
01-Jun-20,DD,0,0,0,Daman and Diu
01-Jun-20,DL,990,50,268,Delhi
01-Jun-20,DN,1,0,0,Dadra and Nagar Haveli and Daman and Diu
01-Jun-20,GA,2,0,6,Goa
01-Jun-20,GJ,423,25,861,Gujarat
01-Jun-20,HP,9,0,2,Himachal Pradesh
01-Jun-20,HR,265,1,7,Haryana
