continent_name,country_code 
North America,ABW
Asia,AFG
Africa,AGO
North America,AIA
Europe,ALA
Europe,ALB
Europe,AND
North America,ANT
Asia,ARE
South America,ARG
Asia,ARM
Oceania,ASM
Antarctica,ATA
Antarctica,ATF
North America,ATG
Oceania,AUS
Europe,AUT
Asia,AZE
Africa,BDI
Europe,BEL
Africa,BEN
North America,BES
Africa,BFA
Asia,BGD
Europe,BGR
Asia,BHR
North America,BHS
Europe,BIH
North America,BLM
Europe,BLR
North America,BLZ
North America,BMU
South America,BOL
South America,BRA
North America,BRB
Asia,BRN
Asia,BTN
Antarctica,BVT
Africa,BWA
Africa,CAF
North America,CAN
Asia,CCK
Europe,CHE
South America,CHL
Asia,CHN
Africa,CIV
Africa,CMR
Africa,COD
Africa,COG
Oceania,COK
South America,COL
Africa,COM
Africa,CPV
North America,CRI
North America,CUB
North America,CUW
Asia,CXR
North America,CYM
Europe,CYP
Europe,CZE
Europe,DEU
Africa,DJI
North America,DMA
Europe,DNK
North America,DOM
Africa,DZA
South America,ECU
Africa,EGY
Africa,ERI
Africa,ESH
Europe,ESP
Europe,EST
Africa,ETH
Europe,FIN
Oceania,FJI
South America,FLK
Europe,FRA
Europe,FRO
Oceania,FSM
Africa,GAB
Europe,GBR
Europe,GEO
Europe,GGY
Africa,GHA
Europe,GIB
Africa,GIN
North America,GLP
Africa,GMB
Africa,GNB
Africa,GNQ
Europe,GRC
North America,GRD
North America,GRL
North America,GTM
South America,GUF
Oceania,GUM
South America,GUY
Asia,HKG
Antarctica,HMD
North America,HND
Europe,HRV
North America,HTI
Europe,HUN
Asia,IDN
Europe,IMN
Asia,IND
Asia,IOT
Europe,IRL
Asia,IRN
Asia,IRQ
Europe,ISL
Asia,ISR
Europe,ITA
North America,JAM
Europe,JEY
Asia,JOR
Asia,JPN
Asia,KAZ
Africa,KEN
Asia,KGZ
Asia,KHM
Oceania,KIR
North America,KNA
Asia,KOR
Asia,KWT
Asia,LAO
Asia,LBN
Africa,LBR
Africa,LBY
North America,LCA
Europe,LIE
Asia,LKA
Africa,LSO
Europe,LTU
Europe,LUX
Europe,LVA
Asia,MAC
North America,MAF
Africa,MAR
Europe,MCO
Europe,MDA
Africa,MDG
Asia,MDV
North America,MEX
Oceania,MHL
Europe,MKD
Africa,MLI
Europe,MLT
Asia,MMR
Europe,MNE
Asia,MNG
Oceania,MNP
Africa,MOZ
Africa,MRT
North America,MSR
North America,MTQ
Africa,MUS
Africa,MWI
Asia,MYS
Africa,MYT
Africa,NAM
Oceania,NCL
Africa,NER
Oceania,NFK
Africa,NGA
North America,NIC
Oceania,NIU
Europe,NLD
Europe,NOR
Asia,NPL
Oceania,NRU
Oceania,NZL
Asia,OMN
Asia,PAK
North America,PAN
Oceania,PCN
South America,PER
Asia,PHL
Oceania,PLW
Oceania,PNG
Europe,POL
North America,PRI
Asia,PRK
Europe,PRT
South America,PRY
Asia,PSE
Oceania,PYF
Asia,QAT
Africa,REU
Europe,ROU
Europe,RUS
Africa,RWA
Asia,SAU
Africa,SDN
Africa,SEN
Asia,SGP
Antarctica,SGS
Africa,SHN
Europe,SJM
Oceania,SLB
Africa,SLE
North America,SLV
Europe,SMR
Africa,SOM
North America,SPM
Europe,SRB
Africa,SSD
Africa,STP
South America,SUR
Europe,SVK
Europe,SVN
Europe,SWE
Africa,SWZ
North America,SXM
Africa,SYC
Asia,SYR
North America,TCA
Africa,TCD
Africa,TGO
Asia,THA
Asia,TJK
Oceania,TKL
Asia,TKM
Asia,TLS
Oceania,TON
North America,TTO
Africa,TUN
Europe,TUR
Oceania,TUV
Asia,TWN
Africa,TZA
Africa,UGA
Europe,UKR
South America,URY
North America,USA
Asia,UZB
Europe,VAT
North America,VCT
South America,VEN
North America,VGB
North America,VIR
Asia,VNM
Oceania,VUT
Oceania,WLF
Oceania,WSM
Asia,YEM
Africa,ZAF
Africa,ZMB
Africa,ZWE
