id,date,state_code,conf,deceased,rec,state_name
0,2020-04-01,AN,0,0,0,Andaman and Nicobar Islands
1,2020-04-01,AP,67,0,1,Andhra Pradesh
2,2020-04-01,AR,0,0,0,Arunachal Pradesh
3,2020-04-01,AS,15,0,0,Assam
4,2020-04-01,BR,3,0,0,Bihar
5,2020-04-01,CH,2,0,0,Chandigarh
6,2020-04-01,CT,0,0,0,Chhattisgarh
7,2020-04-01,DD,0,0,0,Daman and Diu
8,2020-04-01,DL,32,0,0,Delhi
9,2020-04-01,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
10,2020-04-01,GA,0,0,0,Goa
11,2020-04-01,GJ,13,0,0,Gujarat
12,2020-04-01,HP,0,0,0,Himachal Pradesh
13,2020-04-01,HR,0,0,10,Haryana
14,2020-04-01,JH,0,0,0,Jharkhand
15,2020-04-01,JK,7,0,1,Jammu and Kashmir
16,2020-04-01,KA,9,0,1,Karnataka
17,2020-04-01,KL,24,0,2,Kerala
18,2020-04-01,LA,0,0,0,Ladakh
19,2020-04-01,LD,0,0,0,Lakshadweep
20,2020-04-01,MH,33,3,0,Maharashtra
21,2020-04-01,ML,0,0,0,Meghalaya
22,2020-04-01,MN,0,0,0,Manipur
23,2020-04-01,MP,32,1,0,Madhya Pradesh
24,2020-04-01,MZ,0,0,0,Mizoram
25,2020-04-01,NL,0,0,0,Nagaland
26,2020-04-01,OR,1,0,1,Odisha
27,2020-04-01,PB,4,0,0,Punjab
28,2020-04-01,PY,2,0,0,Puducherry
29,2020-04-01,RJ,27,0,0,Rajasthan
30,2020-04-01,SK,0,0,0,Sikkim
31,2020-04-01,TG,30,3,0,Telangana
32,2020-04-01,TN,110,0,0,Tamil Nadu
33,2020-04-01,TR,0,0,0,Tripura
34,2020-04-01,TT,424,9,16,Total
35,2020-04-01,UN,0,0,0,State Unassigned
36,2020-04-01,UP,13,2,0,Uttar Pradesh
37,2020-04-01,UT,0,0,0,Uttarakhand
38,2020-04-01,WB,0,0,0,West Bengal
39,2020-08-01,AN,88,2,12,Andaman and Nicobar Islands
40,2020-08-01,AP,9276,58,12750,Andhra Pradesh
41,2020-08-01,AR,83,0,51,Arunachal Pradesh
42,2020-08-01,AS,1457,3,1085,Assam
43,2020-08-01,BR,3521,14,1823,Bihar
44,2020-08-01,CH,28,3,16,Chandigarh
45,2020-08-01,CT,235,1,380,Chhattisgarh
46,2020-08-01,DD,0,0,0,Daman and Diu
47,2020-08-01,DL,1118,26,1201,Delhi
48,2020-08-01,DN,45,0,30,Dadra and Nagar Haveli and Daman and Diu
49,2020-08-01,GA,280,3,227,Goa
50,2020-08-01,GJ,1136,24,875,Gujarat
51,2020-08-01,HP,70,0,43,Himachal Pradesh
52,2020-08-01,HR,793,7,853,Haryana
53,2020-08-01,JH,790,8,170,Jharkhand
54,2020-08-01,JK,613,11,654,Jammu and Kashmir
55,2020-08-01,KA,5172,98,3860,Karnataka
56,2020-08-01,KL,1129,8,752,Kerala
57,2020-08-01,LA,58,0,13,Ladakh
58,2020-08-01,LD,0,0,0,Lakshadweep
59,2020-08-01,MH,9601,322,10725,Maharashtra
60,2020-08-01,ML,33,0,37,Meghalaya
61,2020-08-01,MN,135,1,10,Manipur
62,2020-08-01,MP,808,9,698,Madhya Pradesh
63,2020-08-01,MZ,5,0,6,Mizoram
64,2020-08-01,NL,138,0,5,Nagaland
65,2020-08-01,OR,1602,11,756,Odisha
66,2020-08-01,PB,944,19,341,Punjab
67,2020-08-01,PY,134,2,98,Puducherry
68,2020-08-01,RJ,1160,14,823,Rajasthan
69,2020-08-01,SK,11,0,38,Sikkim
70,2020-08-01,TG,2083,11,1114,Telangana
71,2020-08-01,TN,5879,99,7010,Tamil Nadu
72,2020-08-01,TR,252,2,136,Tripura
73,2020-08-01,TT,55117,854,51368,Total
74,2020-08-01,UN,0,0,0,State Unassigned
75,2020-08-01,UP,3587,47,2471,Uttar Pradesh
76,2020-08-01,UT,264,3,162,Uttarakhand
